mensaje_limpio,incidente,area,coincidencias
Hubo luz hace poco en área infantil.,iluminacion danada,mantenimiento,1
Varias personas mencionan insatisfecho afuera de KFC.,queja de cliente,recepcion,1
En planta baja un cliente reporta fuga cerca de Mi Comisariato.,fuga de agua,mantenimiento,1
Visitantes informan herido cerca de junto a Tía.,emergencia medica,sso,1
"Reportan atencion medica en pasillo central, estaba pasando entre parece que.",emergencia medica,sso,1
Notifican desde pasillo central que ocurrió accidente escalera.,caida,sso,3
Un guardia indica que hubo cables sueltos en baños del segundo piso.,cableado suelto,mantenimiento,2
Personal de limpieza vio perdi en cerca de Cinemark.,objeto perdido,seguridad,1
Un guardia indica que hubo forzaron en entrada principal.,robo,seguridad,1
Mensaje recibido: retirar en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Notifican desde frente a Mega Kywi que ocurrió stand.,montaje de evento,mercadeo,1
"Reportan discutiendo en piso 1, estaba pasando entre durísimo.",pelea,seguridad,1
Se observa flyer a la altura de cerca de Cinemark.,publicidad,mercadeo,1
Por radios informan tropiezo escalera en área infantil.,accidente en escalera,sso,2
Varias personas mencionan inundacion afuera de Mega Kywi.,fuga de agua,mantenimiento,1
Hubo tuberia rota hace poco en fuera de Pycca.,fuga de agua,mantenimiento,1
a cada rato comentó que vio fractura por entrada principal.,emergencia medica,sso,1
Personal de limpieza vio emergencia en piso 1.,inconsciencia,sso,1
Mensaje recibido: charco en zona de carga.,fuga de agua,mantenimiento,1
Un guardia indica que hubo sangre en zona de carga.,emergencia medica,sso,1
Un colaborador menciona haber visto obstruyendo en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Notifican desde frente a Mega Kywi que ocurrió bloqueando.,vehiculo mal estacionado,seguridad,1
Un colaborador menciona haber visto golpe en piso 1.,caida,sso,1
Un cliente molesto dice que hubo robado cerca de KFC.,robo,seguridad,1
Mensaje recibido: golpe en zona coworking.,caida,sso,1
Notifican desde área bancaria que ocurrió documento.,perdida de documentos,administracion,1
Personal de limpieza vio objeto perdido en zona de carga.,objeto perdido,seguridad,3
Un visitante dice que encontró fractura cerca de Adidas Store.,emergencia medica,sso,1
Por radios informan resbale en cerca de Cinemark.,caida,sso,1
Parece que hubo quejar afuera de Starbucks.,queja de cliente,recepcion,2
Notifican desde junto a Tía que ocurrió caida.,caida,sso,1
Un cliente molesto dice que hubo atencion medica cerca de Pycca.,emergencia medica,sso,1
Se genera alerta por inundacion en el sector de Starbucks.,fuga de agua,mantenimiento,1
"Reportan iluminacion en patio de comidas, estaba pasando entre un guardia.",iluminacion danada,mantenimiento,1
Un cliente molesto dice que hubo robo cerca de Mega Kywi.,robo,seguridad,1
Parece que hubo mal parqueado afuera de Isla de helados.,vehiculo mal estacionado,seguridad,1
"Reportan tropece en pasillo central, estaba pasando entre está feo eso.",caida,sso,1
"Reportan mal servicio en baños del segundo piso, estaba pasando entre como que.",queja de cliente,recepcion,1
Mensaje recibido: tropiezo escalera en pasillo central.,accidente en escalera,sso,2
"Alguien avisó de resbale en cerca de Cinemark, estaba según dicen.",caida,sso,1
En frente a Mega Kywi un cliente reporta anuncio cerca de Sweet & Coffee.,publicidad,mercadeo,1
Mensaje recibido: archivo en zona de parqueaderos.,perdida de documentos,administracion,1
Un cliente molesto dice que hubo expuesto cerca de Adidas Store.,cableado suelto,mantenimiento,1
Un colaborador menciona haber visto agresion en junto a las escaleras eléctricas.,pelea,seguridad,2
Varias personas mencionan actitud sospechosa afuera de De Prati.,persona sospechosa,seguridad,1
Parece que hubo molestia ruido afuera de Valentina.,queja de cliente,recepcion,3
Se observa archivo a la altura de área bancaria.,perdida de documentos,administracion,1
Parece que hubo anuncio afuera de De Prati.,publicidad,mercadeo,1
full gente comentó que vio electricidad por pasillo central.,cableado suelto,mantenimiento,1
Se observa se desmayo a la altura de pasillo central.,inconsciencia,sso,1
Un visitante dice que encontró corto circuito cerca de De Prati.,cableado suelto,mantenimiento,1
Se detecta algo relacionado con raro en segundo piso.,persona sospechosa,seguridad,1
Notifican desde frente a Mega Kywi que ocurrió apagado.,iluminacion danada,mantenimiento,1
Parece que hubo quitar publicidad afuera de Pycca.,publicidad,mercadeo,2
Parece que hubo desmontar afuera de Tía.,retiro material publicitario,mercadeo,1
Mensaje recibido: desmontar en baños del segundo piso.,retiro material publicitario,mercadeo,1
Notifican desde área infantil que ocurrió alto volumen.,ruido excesivo,administracion,1
Personal de limpieza vio obstruyendo en zona coworking.,vehiculo mal estacionado,seguridad,1
Guardias revisan caso de bulla fuera de Claro.,ruido excesivo,administracion,1
Se observa quitar publicidad a la altura de área bancaria.,publicidad,mercadeo,2
Se observa tropiezo escalera a la altura de terraza.,accidente en escalera,sso,2
En junto a Tía un cliente reporta mojado cerca de Tía.,fuga de agua,mantenimiento,1
una señora comentó que vio violencia por piso 1.,robo,seguridad,1
Por radios informan inundacion en zona de parqueaderos.,fuga de agua,mantenimiento,1
Se detecta algo relacionado con cables sueltos en junto a Tía.,cableado suelto,mantenimiento,2
"Reportan no funciona ascensor en área bancaria, estaba pasando entre parece que.",ascensor en falla,mantenimiento,2
Un cliente molesto dice que hubo accidente cerca de Mega Kywi.,caida,sso,1
Mensaje recibido: alto volumen en planta baja.,ruido excesivo,administracion,1
Un guardia indica que hubo comportamiento extrano en fuera de Pycca.,persona sospechosa,seguridad,1
un chico comentó que vio alto volumen por terraza.,ruido excesivo,administracion,1
Un visitante dice que encontró queja cerca de KFC.,queja de cliente,recepcion,1
Un colaborador menciona haber visto caida en baños del segundo piso.,caida,sso,1
Un cliente molesto dice que hubo evento cerca de Sweet & Coffee.,montaje de evento,mercadeo,1
Un visitante dice que encontró inundacion cerca de Doña Menestra.,fuga de agua,mantenimiento,1
Hubo atencion medica hace poco en entrada principal.,emergencia medica,sso,1
Notifican desde cerca de Cinemark que ocurrió rina.,pelea,seguridad,1
Hubo se cayo escalera hace poco en zona de parqueaderos.,accidente en escalera,sso,2
Personal de limpieza vio accidente escalera en baños del segundo piso.,caida,sso,3
Personal de limpieza vio objeto perdido en patio de comidas.,objeto perdido,seguridad,3
Se genera alerta por robaron en el sector de Mega Kywi.,robo,seguridad,1
Hubo sangre hace poco en entrada principal.,emergencia medica,sso,1
Parece que hubo elevador afuera de Valentina.,ascensor en falla,mantenimiento,1
"Alguien avisó de lastimado en segundo piso, estaba un man.",caida,sso,1
Parece que hubo atencion pesima afuera de Doña Menestra.,queja de cliente,recepcion,1
recién pasó comentó que vio forzaron por área infantil.,robo,seguridad,1
Guardias revisan caso de remover fuera de Coral Hipermercados.,retiro material publicitario,mercadeo,1
medio raro comentó que vio sin luz por área infantil.,persona sospechosa,seguridad,3
Personal de limpieza vio resbale en entrada principal.,caida,sso,1
"Alguien avisó de bulla en zona coworking, estaba un man.",ruido excesivo,administracion,1
En cerca de Cinemark un cliente reporta auxilio cerca de Adidas Store.,inconsciencia,sso,1
Un cliente molesto dice que hubo goteo cerca de Pycca.,fuga de agua,mantenimiento,1
Un guardia indica que hubo sangre en entrada principal.,emergencia medica,sso,1
Varias personas mencionan comportamiento extrano afuera de McDonald's.,persona sospechosa,seguridad,1
Guardias revisan caso de molestia ruido fuera de Cinemark.,queja de cliente,recepcion,3
Hubo promocion hace poco en segundo piso.,publicidad,mercadeo,2
Un visitante dice que encontró molestia cerca de Doña Menestra.,queja de cliente,recepcion,1
Parece que hubo anuncio afuera de KFC.,publicidad,mercadeo,1
Parece que hubo recuperar afuera de Isla de helados.,objeto perdido,seguridad,1
Se detecta algo relacionado con evento en planta baja.,montaje de evento,mercadeo,1
En zona coworking un cliente reporta anuncio cerca de Mega Kywi.,publicidad,mercadeo,1
Se genera alerta por tropece en el sector de McDonald's.,caida,sso,1
Personal de limpieza vio desmayado en área bancaria.,inconsciencia,sso,1
Varias personas mencionan se desmayo afuera de Claro.,inconsciencia,sso,1
Se detecta algo relacionado con tropiezo escalera en planta baja.,accidente en escalera,sso,2
Se detecta algo relacionado con se cayo escalera en zona de carga.,accidente en escalera,sso,2
Se observa no funciona ascensor a la altura de cerca de Cinemark.,ascensor en falla,mantenimiento,2
Se genera alerta por agua en el sector de Juan Valdez.,fuga de agua,mantenimiento,1
Un guardia indica que hubo estacionado en área infantil.,vehiculo mal estacionado,seguridad,1
Varias personas mencionan ruido afuera de Sweet & Coffee.,ruido excesivo,administracion,1
Un colaborador menciona haber visto retirar en piso 1.,retiro material publicitario,mercadeo,1
Se observa documento a la altura de pasillo central.,perdida de documentos,administracion,1
Personal de limpieza vio traba en frente a Mega Kywi.,ascensor en falla,mantenimiento,1
Por radios informan tropece en segundo piso.,caida,sso,1
Se genera alerta por obstruyendo en el sector de McDonald's.,vehiculo mal estacionado,seguridad,1
"Reportan stand en junto a Tía, estaba pasando entre un chico.",montaje de evento,mercadeo,1
Personal de limpieza vio charco en zona de parqueaderos.,fuga de agua,mantenimiento,1
Un guardia indica que hubo parpadeando en segundo piso.,iluminacion danada,mantenimiento,1
Un colaborador menciona haber visto emergencia en zona de carga.,inconsciencia,sso,1
Por radios informan publicidad en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Parece que hubo fuga afuera de Tía.,fuga de agua,mantenimiento,1
Notifican desde área bancaria que ocurrió emergencia.,inconsciencia,sso,1
"Alguien avisó de perdi documento en planta baja, estaba está feo eso.",objeto perdido,seguridad,3
Parece que hubo reclamo afuera de Juan Valdez.,queja de cliente,recepcion,1
un man comentó que vio electricidad por área bancaria.,cableado suelto,mantenimiento,1
Guardias revisan caso de arma fuera de Isla de helados.,robo,seguridad,1
Un colaborador menciona haber visto documento en zona coworking.,perdida de documentos,administracion,1
Un cliente molesto dice que hubo insatisfecho cerca de Movistar.,queja de cliente,recepcion,1
Notifican desde entrada principal que ocurrió ruido.,ruido excesivo,administracion,1
Se detecta algo relacionado con anuncio en piso 1.,publicidad,mercadeo,1
En zona coworking un cliente reporta mojado cerca de Pycca.,fuga de agua,mantenimiento,1
Guardias revisan caso de objeto perdido fuera de Mi Comisariato.,objeto perdido,seguridad,3
justito comentó que vio papeles por fuera de Pycca.,perdida de documentos,administracion,1
Visitantes informan desmontar cerca de piso 1.,retiro material publicitario,mercadeo,1
Visitantes informan actitud sospechosa cerca de junto a Tía.,persona sospechosa,seguridad,1
Un guardia indica que hubo agua en pasillo central.,fuga de agua,mantenimiento,1
Por radios informan perdi documento en segundo piso.,objeto perdido,seguridad,3
Mensaje recibido: montaje en fuera de Pycca.,montaje de evento,mercadeo,1
Se observa estacionado a la altura de zona de carga.,vehiculo mal estacionado,seguridad,1
Varias personas mencionan sin luz afuera de Juan Valdez.,iluminacion danada,mantenimiento,2
"Reportan molestia ruido en entrada principal, estaba pasando entre justito.",queja de cliente,recepcion,3
Hubo charco hace poco en segundo piso.,fuga de agua,mantenimiento,1
Varias personas mencionan documento afuera de Mi Comisariato.,perdida de documentos,administracion,1
Guardias revisan caso de atorado fuera de Marathon Sports.,ascensor en falla,mantenimiento,1
Un cliente molesto dice que hubo stand cerca de Mi Comisariato.,montaje de evento,mercadeo,1
Se detecta algo relacionado con retirar en piso 1.,retiro material publicitario,mercadeo,1
Hubo atencion medica hace poco en frente a Mega Kywi.,emergencia medica,sso,1
Visitantes informan montaje cerca de segundo piso.,montaje de evento,mercadeo,1
Se detecta algo relacionado con escenario en piso 1.,montaje de evento,mercadeo,1
"Alguien avisó de cables sueltos en planta baja, estaba recién pasó.",cableado suelto,mantenimiento,2
Visitantes informan bulla cerca de junto a las escaleras eléctricas.,accidente en escalera,sso,2
Un cliente molesto dice que hubo agua cerca de Pycca.,fuga de agua,mantenimiento,1
Personal de limpieza vio desmayado en junto a las escaleras eléctricas.,inconsciencia,sso,2
Visitantes informan perdido cerca de baños del segundo piso.,objeto perdido,seguridad,2
está feo eso comentó que vio se me cayo por cerca de Cinemark.,objeto perdido,seguridad,1
Notifican desde frente a Mega Kywi que ocurrió foco.,iluminacion danada,mantenimiento,1
Mensaje recibido: escenario en junto a Tía.,montaje de evento,mercadeo,1
"Alguien avisó de bulla en junto a Tía, estaba a cada rato.",ruido excesivo,administracion,1
Visitantes informan no encuentro cerca de zona de carga.,objeto perdido,seguridad,1
Se genera alerta por ascensor en el sector de Doña Menestra.,ascensor en falla,mantenimiento,1
Un cliente molesto dice que hubo expuesto cerca de Mega Kywi.,cableado suelto,mantenimiento,1
Personal de limpieza vio queja en fuera de Pycca.,queja de cliente,recepcion,1
Varias personas mencionan cable afuera de KFC.,cableado suelto,mantenimiento,1
Un visitante dice que encontró foco cerca de Marathon Sports.,iluminacion danada,mantenimiento,1
Un guardia indica que hubo atencion medica en piso 1.,emergencia medica,sso,1
Por radios informan inundacion en cerca de Cinemark.,fuga de agua,mantenimiento,1
